Demand,Total parts,Parts per hour,VA Time,Drilling Waiting Time,Milling Waiting Time,Assembly Waiting Time,Drilling Util,Milling Util,Assembly Util,,,,,,,,,,,,
7,3472,145,8.998139,0.411598,0,2.09364,0.482119,0.359941,0.719475,,,,,,,,,,,,
10,1458,61,9.000579,0.000584,0,0.039279,0.202219,0.150724,0.299455,,,,,,,,,,,,
2,1464,61,8.984631,0.013647,0,0.058197,0.204153,0.151821,0.302495,,,,,,,,,,,,
8,3480,145,9.000415,0.626821,0.000073,3.047472,0.479163,0.362638,0.721605,,,,,,,,,,,,
10,8143,339,8.985762,83.971458,0.000079,233.673981,0.995433,0.745514,0.994417,,,,,,,,,,,,
6,2958,123,8.983307,0.190516,0.000084,0.741479,0.409109,0.308102,0.607926,,,,,,,,,,,,
2,922,38,9.002477,0,0,0.000357,0.127754,0.095402,0.190317,,,,,,,,,,,,
6,3030,126,9.035409,0.264636,0.000037,1.157962,0.422867,0.31519,0.627349,,,,,,,,,,,,
17,7803,325,8.98709,53.236201,0.000024,219.306314,0.979099,0.731876,0.992179,,,,,,,,,,,,
16,4131,172,9.001365,0.826723,0.000001,6.946022,0.571191,0.427988,0.85379,,,,,,,,,,,,
4,2092,87,9.020185,0.019816,0,0.153087,0.292088,0.216512,0.432037,,,,,,,,,,,,
12,5712,238,8.998489,4.908336,0.000038,118.427709,0.790894,0.590711,0.99575,,,,,,,,,,,,
6,5269,220,9.004133,2.236432,0.000087,71.128177,0.726305,0.542872,0.988237,,,,,,,,,,,,
5,2270,95,9.036243,0.091429,0,0.357759,0.316335,0.23682,0.473072,,,,,,,,,,,,
8,8636,360,8.991529,108.131369,0.000041,236.804238,0.999941,0.743842,0.996165,,,,,,,,,,,,
2,1386,58,9.018523,0.000682,0,0.015698,0.192769,0.145122,0.287168,,,,,,,,,,,,
9,7344,306,9.006206,31.610951,0.000058,239.947839,0.999091,0.746205,0.995852,,,,,,,,,,,,
8,7616,317,9.002325,66.242791,0.00004,181.141261,0.951379,0.710286,0.996035,,,,,,,,,,,,
4,2008,84,8.989708,0.022936,0,0.139324,0.278298,0.207945,0.416241,,,,,,,,,,,,
18,3728,155,9.000396,0.571848,0,2.519463,0.517085,0.38609,0.763893,,,,,,,,,,,,
16,7680,320,9.003732,56.453788,0.000141,241.955886,0.999987,0.750827,0.996046,,,,,,,,,,,,
15,7410,309,8.998022,48.797612,0.000043,206.093647,0.974236,0.729839,0.995546,,,,,,,,,,,,
9,1365,57,9.029579,0,0,0.02481,0.189183,0.142027,0.284468,,,,,,,,,,,,
13,6175,257,9.022218,7.34948,0.000169,155.739977,0.856569,0.641707,0.990772,,,,,,,,,,,,
8,3872,161,8.976885,0.601187,0,3.263271,0.535599,0.39908,0.797875,,,,,,,,,,,,
17,8126,339,9.008416,114.087277,0.000012,236.834524,0.993243,0.741514,0.991931,,,,,,,,,,,,
14,1836,77,8.986777,0.009539,0,0.112631,0.254353,0.189797,0.383723,,,,,,,,,,,,
10,4960,207,9.023639,1.873902,0.000035,22.890805,0.686527,0.513606,0.959578,,,,,,,,,,,,
4,1964,82,8.992248,0.026173,0,0.179515,0.272089,0.205075,0.408118,,,,,,,,,,,,
17,8024,334,9.012646,76.449545,0.000026,182.874584,0.948249,0.707312,0.996323,,,,,,,,,,,,
11,5500,229,9.012214,2.276292,0.000146,79.141591,0.762687,0.570077,0.990119,,,,,,,,,,,,
16,8048,335,9.006199,84.544349,0.000086,237.19661,0.999102,0.748012,0.996187,,,,,,,,,,,,
6,3465,144,8.995316,0.442532,0,1.975277,0.482593,0.358895,0.713696,,,,,,,,,,,,
10,1581,66,9.010857,0.001334,0,0.039808,0.219105,0.16417,0.329167,,,,,,,,,,,,
