Demand,Entities In Part 1,Part 1 VA Time,Drilling Queue Time,Part 1 Storage Time,Part 1 Stored,Entities In Part 2,Part 2 VA Time,Milling Queue Time,Part 2 Storage Time,Part 2 Stored,Entities Out,Assembly Time,Assembly Queue Time,Drilling Utilization,Milling Utilization,Assembly Utilization
7,4921,3.001686,0.028374,1.52469,15,5138,3.001738,0.00226,32.317876,232,4906,3.007488,0.178454,0.341792,0.267625,0.512982
13,2160,2.996812,0,15.424312,6,2265,2.990346,0,16.641485,111,2154,3.020345,0,0.149739,0.117389,0.225907
3,2214,2.99685,0,2.548998,14,2241,2.985284,0,10.723775,41,2200,3.002305,0,0.15331,0.116007,0.230056
10,5688,3.014338,0.072612,0.156063,53,6056,3.006632,0.012824,58.827262,421,5635,2.99452,0.329992,0.395501,0.315421,0.586787
9,12444,2.992463,4.312082,134.594359,2885,12699,2.998766,1.118083,163.426465,3140,9559,2.996595,2.905791,0.855678,0.660039,0.995767
6,4344,3.002647,0.010083,34.012687,15,4440,2.989268,0.000709,6.040711,111,4329,2.997195,0.118102,0.301596,0.230234,0.450989
2,1484,3.000951,0,49.167148,42,1446,3.005436,0,1.19044,4,1442,3.006816,0,0.103037,0.075335,0.15055
6,4452,3.003074,0.010916,20.762189,201,4272,3.005985,0.000273,0.270143,21,4251,3.00291,0.07978,0.309447,0.222588,0.443725
17,10880,2.998147,2.840057,89.294724,1342,12087,2.998391,0.740226,136.116087,2549,9538,2.997316,2.898592,0.754237,0.628347,0.993782
4,6471,3.002582,0.122692,2.976487,39,6471,2.998705,0.017229,14.240041,39,6432,2.99527,0.553202,0.449556,0.336812,0.670091
4,2896,3.003175,0,0.966012,8,2964,3.005347,0,30.937608,76,2888,3.004008,0.001668,0.201059,0.154311,0.301293
2,8388,2.998351,0.483585,9.204625,136,8292,3.003483,0.103494,7.618948,40,8252,2.99002,1.638816,0.582214,0.431418,0.857151
11,7700,3.001519,0.398978,39.243106,61,7700,2.996654,0.104889,2.797306,61,7639,2.998147,1.418421,0.534993,0.399782,0.796389
5,3525,3.00657,0.001283,3.772165,25,3805,3.00024,0,25.509468,305,3500,3.011991,0.013375,0.245161,0.197376,0.366964
17,11985,3.002511,3.175336,169.462444,2435,11900,3.002922,0.743024,136.584144,2350,9550,2.993077,2.916127,0.832491,0.619099,0.993693
